시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,성동구,의료,여자,75-79세,2,0,0,0,0,0,1,0,0,0
서울,성동구,의료,여자,80-84세,6,0,1,0,2,0,1,1,0,0
서울,성동구,의료,여자,85세이상,17,1,4,3,6,0,0,1,1,0
서울,성동구,감경,남자,65세미만,19,0,3,6,3,1,1,0,0,0
서울,성동구,감경,남자,65-69세,26,0,3,4,10,1,2,1,0,3
서울,성동구,감경,남자,70-74세,50,5,5,11,16,4,4,1,1,0
서울,성동구,감경,남자,75-79세,66,4,3,14,23,12,3,1,1,2
서울,성동구,감경,남자,80-84세,73,1,5,18,30,7,8,0,0,0
서울,성동구,감경,남자,85세이상,57,1,2,15,21,13,3,0,0,1
서울,성동구,감경,여자,65세미만,15,3,2,2,5,1,0,0,0,0
서울,성동구,감경,여자,65-69세,26,6,0,6,10,2,1,1,0,0
서울,성동구,감경,여자,70-74세,54,3,4,11,18,7,7,0,0,2
서울,성동구,감경,여자,75-79세,109,7,4,24,45,9,8,0,3,0
서울,성동구,감경,여자,80-84세,191,1,13,43,89,18,14,2,1,1
서울,성동구,감경,여자,85세이상,387,15,28,135,155,31,12,1,1,0
서울,광진구,일반,남자,65세미만,47,3,4,2,8,1,0,8,4,4
서울,광진구,일반,남자,65-69세,112,7,8,18,27,5,0,14,4,8
서울,광진구,일반,남자,70-74세,157,6,11,24,53,8,2,10,3,5
서울,광진구,일반,남자,75-79세,234,2,16,45,86,16,5,12,9,6
서울,광진구,일반,남자,80-84세,366,6,15,87,134,33,10,17,9,5
서울,광진구,일반,남자,85세이상,456,19,26,123,197,21,5,14,5,3
서울,광진구,일반,여자,65세미만,60,3,3,10,10,3,0,13,2,5
서울,광진구,일반,여자,65-69세,120,5,8,18,17,6,2,12,8,6
서울,광진구,일반,여자,70-74세,239,15,11,32,65,12,2,28,11,6
서울,광진구,일반,여자,75-79세,464,11,21,91,136,35,12,31,13,4
서울,광진구,일반,여자,80-84세,763,20,42,176,280,53,15,38,12,5
서울,광진구,일반,여자,85세이상,1058,50,104,298,384,67,9,25,12,5
서울,광진구,기초,남자,65세미만,56,4,3,11,13,3,1,6,5,3
서울,광진구,기초,남자,65-69세,61,2,3,9,13,6,0,5,3,7
서울,광진구,기초,남자,70-74세,48,1,2,4,22,2,1,6,0,3
서울,광진구,기초,남자,75-79세,36,0,2,3,20,3,0,3,0,1
서울,광진구,기초,남자,80-84세,40,0,0,6,18,4,3,1,3,1
서울,광진구,기초,남자,85세이상,27,0,1,2,10,5,1,1,0,0
서울,광진구,기초,여자,65세미만,21,1,2,5,5,1,1,1,0,0
서울,광진구,기초,여자,65-69세,68,0,1,10,25,5,1,11,3,2
서울,광진구,기초,여자,70-74세,63,1,1,6,31,5,0,4,4,0
서울,광진구,기초,여자,75-79세,86,3,3,15,32,7,1,9,4,1
서울,광진구,기초,여자,80-84세,113,1,8,24,47,6,2,6,6,0
서울,광진구,기초,여자,85세이상,163,9,14,53,61,8,2,3,2,2
서울,광진구,의료,남자,65세미만,1,0,0,0,0,0,0,1,0,0
서울,광진구,의료,남자,65-69세,1,0,0,0,0,0,0,0,0,0
서울,광진구,의료,남자,70-74세,2,0,0,0,2,0,0,0,0,0
서울,광진구,의료,남자,75-79세,4,0,0,1,0,0,0,0,0,0
서울,광진구,의료,남자,80-84세,3,0,0,0,3,0,0,0,0,0
서울,광진구,의료,남자,85세이상,2,0,0,0,1,0,0,0,0,0
서울,광진구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,75-79세,1,0,0,0,0,0,0,0,0,0
서울,광진구,의료,여자,80-84세,3,0,1,1,1,0,0,0,0,0
서울,광진구,의료,여자,85세이상,21,2,1,8,7,0,0,0,0,0
서울,광진구,감경,남자,65세미만,25,0,3,10,8,0,1,0,0,1
서울,광진구,감경,남자,65-69세,30,2,1,6,12,2,0,1,1,0
서울,광진구,감경,남자,70-74세,70,6,6,19,28,7,0,0,0,0
서울,광진구,감경,남자,75-79세,73,2,8,22,32,4,1,0,0,0
서울,광진구,감경,남자,80-84세,80,2,7,22,34,7,2,2,0,0
서울,광진구,감경,남자,85세이상,103,2,5,26,58,5,5,0,0,0
서울,광진구,감경,여자,65세미만,18,1,2,3,5,0,0,0,0,0
서울,광진구,감경,여자,65-69세,41,1,3,9,18,3,0,0,2,0
서울,광진구,감경,여자,70-74세,68,2,6,17,31,4,0,0,0,1
서울,광진구,감경,여자,75-79세,131,6,9,32,60,11,2,1,1,0
서울,광진구,감경,여자,80-84세,279,10,26,66,132,23,6,2,1,0
서울,광진구,감경,여자,85세이상,478,20,58,155,208,20,3,0,0,0
서울,동대문구,일반,남자,65세미만,68,13,2,9,8,3,1,7,7,1
서울,동대문구,일반,남자,65-69세,136,5,10,19,22,1,2,13,11,6
서울,동대문구,일반,남자,70-74세,199,17,11,22,56,19,0,21,8,2
서울,동대문구,일반,남자,75-79세,303,16,19,56,70,32,5,25,13,7
서울,동대문구,일반,남자,80-84세,424,23,20,78,133,46,9,28,10,4
서울,동대문구,일반,남자,85세이상,511,23,34,100,191,50,5,18,15,8
서울,동대문구,일반,여자,65세미만,58,8,3,5,8,1,0,10,2,0
서울,동대문구,일반,여자,65-69세,185,16,7,23,27,7,2,26,9,8
서울,동대문구,일반,여자,70-74세,312,20,13,39,53,19,9,43,17,5
서울,동대문구,일반,여자,75-79세,596,29,25,80,158,47,26,58,25,11
서울,동대문구,일반,여자,80-84세,1023,47,48,171,337,124,30,64,32,12
서울,동대문구,일반,여자,85세이상,1251,53,104,299,444,111,16,44,35,5
서울,동대문구,기초,남자,65세미만,85,2,4,18,20,4,0,12,2,2
서울,동대문구,기초,남자,65-69세,112,2,6,15,33,11,4,12,4,6
서울,동대문구,기초,남자,70-74세,101,4,3,14,26,15,3,7,6,7
서울,동대문구,기초,남자,75-79세,78,2,4,10,25,6,1,4,7,3
서울,동대문구,기초,남자,80-84세,77,1,2,12,29,12,0,3,4,3
서울,동대문구,기초,남자,85세이상,45,1,5,4,22,6,1,2,0,0
서울,동대문구,기초,여자,65세미만,33,2,7,3,5,3,1,5,1,1
서울,동대문구,기초,여자,65-69세,79,6,8,13,13,3,2,7,2,3
서울,동대문구,기초,여자,70-74세,104,3,4,14,33,7,1,11,7,3
서울,동대문구,기초,여자,75-79세,172,7,6,28,65,14,4,15,9,3
서울,동대문구,기초,여자,80-84세,233,6,13,37,109,22,4,11,5,5
서울,동대문구,기초,여자,85세이상,261,12,22,45,113,28,0,8,10,1
서울,동대문구,의료,남자,70-74세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,남자,75-79세,2,0,0,1,0,0,0,0,1,0
서울,동대문구,의료,남자,80-84세,1,0,0,0,1,0,0,0,0,0
서울,동대문구,의료,남자,85세이상,2,0,0,1,0,0,0,0,0,0
서울,동대문구,의료,여자,65세미만,1,0,0,0,0,0,0,1,0,0
서울,동대문구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,여자,70-74세,3,0,0,1,1,0,0,0,0,0
서울,동대문구,의료,여자,75-79세,4,0,0,0,1,0,0,1,0,0
